Row,Duration,Pulse,Maxpulse,Calories,math score,reading score,writing score,total_score,result
116.0,60.0,108,151,351.7,75,80,70,225,Pass
117.0,60.0,116,141,443.0,75,80,70,225,Pass
118.0,60.0,97,122,277.4,75,80,70,225,Pass
119.0,60.0,105,125,375.79024390243904,75,80,70,225,Pass
120.0,60.0,103,124,332.7,75,80,70,225,Pass
121.0,30.0,112,137,193.9,75,80,70,225,Pass
122.0,45.0,100,120,100.7,75,80,70,225,Pass
123.0,60.0,119,169,336.7,75,80,70,225,Pass
124.0,60.0,107,127,344.9,75,80,70,225,Pass
125.0,60.0,111,151,368.5,75,80,70,225,Pass
126.0,60.0,98,122,271.0,75,80,70,225,Pass
127.0,60.0,97,124,275.3,75,80,70,225,Pass
128.0,60.0,109,127,382.0,75,80,70,225,Pass
129.0,90.0,99,125,466.4,75,80,70,225,Pass
130.0,60.0,114,151,384.0,75,80,70,225,Pass
131.0,60.0,104,134,342.5,75,80,70,225,Pass
132.0,60.0,107,138,357.5,75,80,70,225,Pass
133.0,60.0,103,133,335.0,75,80,70,225,Pass
134.0,60.0,106,132,327.5,75,80,70,225,Pass
135.0,60.0,103,136,339.0,75,80,70,225,Pass
136.0,20.0,136,156,189.0,75,80,70,225,Pass
137.0,45.0,117,143,317.7,75,80,70,225,Pass
138.0,45.0,115,137,318.0,75,80,70,225,Pass
139.0,45.0,113,138,308.0,75,80,70,225,Pass
140.0,20.0,141,162,222.4,75,80,70,225,Pass
141.0,60.0,108,135,390.0,75,80,70,225,Pass
142.0,60.0,97,127,375.79024390243904,75,80,70,225,Pass
143.0,45.0,100,120,250.4,75,80,70,225,Pass
144.0,45.0,122,149,335.4,75,80,70,225,Pass
145.0,60.0,136,170,470.2,75,80,70,225,Pass
146.0,45.0,106,126,270.8,75,80,70,225,Pass
147.0,60.0,107,136,400.0,75,80,70,225,Pass
148.0,60.0,112,146,361.9,75,80,70,225,Pass
149.0,30.0,103,127,185.0,75,80,70,225,Pass
150.0,60.0,110,150,409.4,75,80,70,225,Pass
151.0,60.0,106,134,343.0,75,80,70,225,Pass
152.0,60.0,109,129,353.2,75,80,70,225,Pass
153.0,60.0,109,138,374.0,75,80,70,225,Pass
154.0,30.0,150,167,275.8,75,80,70,225,Pass
155.0,60.0,105,128,328.0,75,80,70,225,Pass
156.0,60.0,111,151,368.5,75,80,70,225,Pass
157.0,60.0,97,131,270.4,75,80,70,225,Pass
158.0,60.0,100,120,270.4,75,80,70,225,Pass
159.0,60.0,114,150,382.8,75,80,70,225,Pass
160.0,30.0,80,120,240.9,75,80,70,225,Pass
161.0,30.0,85,120,250.4,75,80,70,225,Pass
162.0,45.0,90,130,260.4,75,80,70,225,Pass
163.0,45.0,95,130,270.0,75,80,70,225,Pass
164.0,45.0,100,140,280.9,75,80,70,225,Pass
165.0,60.0,105,140,290.8,75,80,70,225,Pass
166.0,60.0,110,145,300.0,75,80,70,225,Pass
167.0,60.0,115,145,310.2,75,80,70,225,Pass
168.0,75.0,120,150,320.4,75,80,70,225,Pass
169.0,75.0,125,150,330.4,75,80,70,225,Pass
